order_book_id,board_type,sector_code,yield_rate,date,month,ep_ratio_ttm,pb_ratio_ttm,sp_ratio_ttm,operating_revenue_growth_ratio_ttm,net_profit_growth_ratio_ttm,gross_profit_margin_ttm,total_asset_turnover_ttm,cash_ratio_lf,current_ratio_lf,MACD_DIFF,MACD_DEA,MACD_HIST,RSI10,SY,BIAS20,VOL30,VOL60,VOL120,VOLT20,VOLT60,AR,BR
603958.XSHG,MainBoard,ConsumerDiscretionary,-0.013542518397383407,2018-01-02,0,0.015024854667596727,2.6106410020144284,0.5018169362552142,-0.13124041622093263,-0.5445646922810943,0.5186491422886792,1.0699957632124741,0.3328295392199605,4.620564639538802,-0.4739661847500738,-0.6659539982946111,0.3839756270890746,56.17283950617282,55.55555555555556,1.8548767650368538,2.038551600354592,2.7782814504578504,4.226124493403487,0.20014528896005465,2.703853213884886,75.15923566878972,84.66666666666671
000893.XSHE,MainBoard,Materials,-0.19027027027027021,2018-01-02,0,-0.00501545686597644,1.633492136807507,0.26465531401160014,-0.6007958969328325,-1.1981678874815858,0.02326842770662472,0.35558083436374777,0.465855165912318,1.6201302506297655,0.4104904275104513,0.3157936640818729,0.1893935268571567,67.40740740740742,66.66666666666666,6.849948018944206,1.4408520016845587,1.3625605461866204,1.3941623823809257,0.7891974604485564,0.702321795158768,191.24999999999977,128.776978417266
600378.XSHG,MainBoard,Materials,,2018-01-02,0,0.009951121529016092,5.370668352868295,0.11140776068765897,0.34887457072327144,0.4748495534613395,0.27833539067281965,0.4578875932568258,1.3626949082126085,3.0410308889017146,,,,,,,,,,,,,
600302.XSHG,MainBoard,Industrials,0.00331663846965613,2018-01-02,0,0.04542927713731977,1.7131421433126481,0.31977997892546944,0.18939073627406677,0.783408255135357,0.2419731374477742,0.40381857340739213,0.6153739444932088,3.8627309983352793,-0.2808608052756041,-0.29763343258789055,0.03354525462457292,25.00000000000004,22.22222222222222,-3.2593897653559702,0.6361958267903054,0.8329555068522457,1.039362519527523,0.16712034743271942,0.8070234596385661,54.11764705882344,45.01845018450186
000597.XSHE,MainBoard,HealthCare,-0.10767717266213772,2018-01-02,0,0.017158741616163167,2.4232844957762008,0.9268964584369448,0.1504740215292164,-1.615602815029547,0.3551829981568902,0.5270238172025895,0.38207207706897506,1.0043612605976722,-0.13211850075816223,-0.061445289247201565,-0.14134642302192132,41.4285714285714,55.55555555555556,-2.1121869510152225,5.614913880151582,5.254893903846344,5.0050010675855985,0.16542256115900525,0.1907784631225268,98.74776386404292,80.81300813008117
600359.XSHG,MainBoard,ConsumerStaples,-0.027982326951399128,2018-01-02,0,-0.005909105470950765,3.827466080766559,0.564009248828151,0.14928936566876438,-0.7735248289888713,0.12039495588012826,0.502973441515623,0.1512103595729761,1.1946895372566222,-0.05141202247391963,-0.0804584122421892,0.05809277953653916,47.69230769230767,44.44444444444444,1.2299664554602991,0.5265929726817622,1.1057462673644187,1.336212087621758,0.0971095420542301,0.5305867927425988,105.3892215568864,89.01098901098918
600682.XSHG,MainBoard,ConsumerDiscretionary,-0.0055334665759482204,2018-01-02,0,0.027795047781106946,7.117721505627942,0.43656715736120094,0.16332387077922284,21.166723949529814,0.3769993480055698,0.8373582300480226,0.3269512054331085,0.7312830175239203,-0.03825943152091327,0.005005525813597786,-0.0865299146690221,53.65239294710326,44.44444444444444,-0.006585446163971619,0.606706001226158,0.49942757735493964,0.4835969511356658,0.4092118351277756,0.897799822843318,45.081967213114716,53.182461103253154
002656.XSHE,MainBoard,ConsumerDiscretionary,0.014415936738856328,2018-01-02,0,-0.009876898320810241,5.3787624612822045,0.08251492726568337,0.18727078179320644,0.5187064759983566,0.5047173472680059,0.290851625061488,1.561044818886305,3.3032848676626942,0.35105808615366385,0.44129543617472156,-0.1804747000421154,50.65789473684209,44.44444444444444,0.21049155970117783,2.5454592442369965,2.4796925591666765,2.010872111702309,0.4751378035631551,0.6582563385869006,79.67479674796736,90.35314384151602
000519.XSHE,MainBoard,Materials,-0.13713667128678808,2018-01-02,0,0.008242154490037986,1.9012422837598468,0.3015966248835968,-0.14390888933800428,-0.4870943639077405,0.18467172713568045,0.42668431519975186,0.8972418227958372,2.784256115115566,0.23964432251601586,0.196547412408965,0.08619382021410171,49.36708860759496,55.55555555555556,4.881889763779526,3.777738521847715,2.6777292440592215,2.9365627219754207,0.6327389209203678,0.9711632651958018,190.3703703703709,121.91528545119712
600517.XSHG,MainBoard,Industrials,-0.06336887677383152,2018-01-02,0,0.03187743987266865,2.5413100746317783,0.7308948120014519,-0.0612286535663219,-0.4998428744681356,0.15044017788885958,0.7112787159764187,0.172120771761755,1.3228908941894768,-0.14088475422508306,-0.12341261843560464,-0.034944271578956854,12.264150943396283,22.22222222222222,-2.8309679357212505,1.2413753792270676,1.5699088346913488,0.9975829073232104,0.29933850509540294,0.5801781739069638,70.49180327868845,106.1797752808988
000912.XSHE,MainBoard,Materials,0.19332161687170468,2018-01-02,0,-0.1142488098898953,42.11147323944265,1.1134121153470624,1.0307456945528402,0.04536738861864231,0.08024344933990135,0.4937116190694114,0.0572638652438451,0.2841320535998257,-0.6146809554469632,-0.472576348457004,-0.2842092139799184,19.787985865724373,22.22222222222222,-19.678147939017503,2.0011913789173903,1.7318681310541202,3.4175006723646697,1.1523632468246383,1.0994668841660766,201.72413793103448,79.59814528593505
002130.XSHE,MainBoard,Industrials,,2018-01-02,0,0.017165053975342195,2.7223078214304173,0.32236464443493407,0.31429234958369556,-0.5502452908333437,0.2960434749011634,0.39952087277974563,0.30047734081652205,1.1978225152488302,,,,,,,,,,,,,
